model,start_date,end_date,days,trades,gross_bps_per_trade,net_4bps_per_trade,net_4bps_sum,mean_daily_net_bps,net_profit_factor,positive_years,years,worst_year_net
regression,2018-12-28,2026-02-27,1800,995,8.037357380081657,4.037357380081655,0.4017170593181247,2.2317614406562476,1.086966770043176,5,9,-0.14567557891629562
ranker,2018-12-28,2026-02-27,1800,1081,4.914317286875341,0.9143172868753416,0.09883769871122444,0.5490983261734694,1.0215203610014956,4,9,-0.20354096026116633
