strategy,class_id,class_label,mean_predicted_probability,observed_frequency
m=1.5,0,SL (class 0),0.026656861855838623,0.21465968586387435
m=1.5,0,SL (class 0),0.16292431197341598,0.2675438596491228
m=1.5,0,SL (class 0),0.24671219487281051,0.32418069087688217
m=1.5,0,SL (class 0),0.33585803216970117,0.401673640167364
m=1.5,0,SL (class 0),0.43956250529135427,0.46774193548387094
m=1.5,0,SL (class 0),0.5260604421297709,0.5
m=1.5,1,TP (class 1),0.0695596755664239,0.08045977011494253
m=1.5,1,TP (class 1),0.16019090231095892,0.1301518438177874
m=1.5,1,TP (class 1),0.24727366397732414,0.21044546850998463
m=1.5,1,TP (class 1),0.3432008522934247,0.22279792746113988
m=1.5,1,TP (class 1),0.4448455679312087,0.2719298245614035
m=1.5,1,TP (class 1),0.5430633845463605,0.38028169014084506
m=1.5,1,TP (class 1),0.648967138221187,0.46774193548387094
m=1.5,1,TP (class 1),0.7342467159032822,0.5555555555555556
m=1.5,1,TP (class 1),0.831044080582532,0.5
m=1.5,1,TP (class 1),0.9856767505407333,0.625
m=1.5,2,TIME (class 2),0.009325538504757543,0.08955223880597014
m=1.5,2,TIME (class 2),0.15928988503057415,0.2857142857142857
m=1.5,2,TIME (class 2),0.2519194572967918,0.3157894736842105
m=1.5,2,TIME (class 2),0.35309062668910396,0.36923076923076925
m=1.5,2,TIME (class 2),0.4556766535352358,0.42042755344418054
m=1.5,2,TIME (class 2),0.54597834283818,0.5478424015009381
m=1.5,2,TIME (class 2),0.6418020088097145,0.603448275862069
m=1.5,2,TIME (class 2),0.7464742221064486,0.635593220338983
m=1.5,2,TIME (class 2),0.841566481651404,0.6794871794871795
m=1.5,2,TIME (class 2),0.9416471769412359,0.7777777777777778
