strategy,start_date,end_date,days,trades,trade_days,final_account,total_pnl,return_pct,win_rate,mean_R,median_R,mean_trade_pnl,mean_trade_return,mean_ev,median_ev,mean_selection_score,mean_sized_risk,profit_factor,max_drawdown_dollars,max_drawdown_pct
m=0.5,2011-10-06 00:00:00,2026-02-27 00:00:00,3618,873,873,426.00217897365064,326.00217897365064,326.00217897365064,0.6620847651775487,0.04378149947007664,0.5,0.37342746732376936,0.0021890749735038314,0.19735836896007158,0.16083520352840425,0.053436623366122156,0.05000000000000001,1.1030870563452955,-422.15706668111335,-52.597951756756565
m=1.0,2011-10-06 00:00:00,2026-02-27 00:00:00,3618,2089,2089,843.322976142903,743.322976142903,743.322976142903,0.5117280995691719,0.03529731884070994,0.04902167710841049,0.3558271786227403,0.0017404808987977072,0.17783428628286996,0.13974361371544314,0.009690435036360474,0.04257101906682831,1.054321911907047,-791.4521747658441,-76.24963028078267
m=1.5,2011-10-06 00:00:00,2026-02-27 00:00:00,3618,1972,1972,90569.2253416927,90469.2253416927,90469.2253416927,0.5,0.09072466019968746,0.0009072740714309036,45.876889118505375,0.004283126641378371,0.2221651300416545,0.1596729601335698,0.010524401320952106,0.04012860290145089,1.0897393727075326,-64710.402102805805,-52.599181101751434
m=2.0,2011-10-06 00:00:00,2026-02-27 00:00:00,3618,2080,2080,7262.867706765278,7162.867706765278,7162.867706765277,0.4889423076923077,0.07890011534970806,-0.023736946123283954,3.443686397483311,0.002764997722117745,0.20116051420107914,0.1436830037520548,0.00921643877528357,0.03401876567298326,1.1250801852934698,-3187.187787984866,-57.28535833582886
Best EV,2011-10-06 00:00:00,2026-02-27 00:00:00,3618,3254,3254,3404.4450805021115,3304.4450805021115,3304.4450805021115,0.505838967424708,0.04423040167574829,0.027529908326510165,1.0155024832520332,0.0018496408275061685,0.20519947286361814,0.1554125886476916,0.011689395586844046,0.041091765637540106,1.0379588846053251,-5257.795206244771,-90.65969623678022
