date,m0.5,m1.0,m1.5,m2.0,Best_EV
2011-10-06,100.0,100.0,99.01266267450795,99.39155751069545,99.01266267450795
2011-10-07,100.0,100.0,99.01266267450795,99.39155751069545,99.01266267450795
2011-10-10,100.0,100.8141723310237,101.65233166230377,99.39155751069545,101.65233166230377
2011-10-11,100.0,100.8141723310237,101.65233166230377,100.72215520649009,103.0131953178256
2011-10-12,101.89736384070932,100.02132100282773,101.65233166230377,104.16112557936029,104.9677304369453
2011-10-13,100.02185125433766,100.26106817758792,101.8959883055022,104.4107957029611,105.21933396068334
2011-10-14,102.5223975356961,103.53956450080624,105.22794585475323,102.14443836628416,108.65996356688869
2011-10-17,102.5223975356961,103.53956450080624,105.22794585475323,104.2256553799644,108.7076306375333
2011-10-18,105.0854574740885,103.53956450080624,105.22794585475323,104.2256553799644,108.7076306375333
2011-10-19,105.0854574740885,108.71654272584655,99.96654856201556,104.2256553799644,103.27224910565664
2011-10-20,105.0854574740885,108.71654272584655,99.96654856201556,104.2256553799644,103.27224910565664
2011-10-21,105.0854574740885,108.71654272584655,99.96654856201556,104.2256553799644,110.96024837698381
2011-10-24,105.0854574740885,109.80370815310502,99.96654856201556,103.39476564260747,112.06985086075365
2011-10-25,99.83118460038408,109.80370815310502,99.96654856201556,98.2250273604771,106.46635831771596
2011-10-26,97.97884824083842,105.63877133647708,99.96654856201556,98.2250273604771,102.42800967769129
2011-10-27,100.42831944685938,105.63877133647708,99.96654856201556,98.2250273604771,100.10204041362645
2011-10-28,100.42831944685938,105.63877133647708,99.96654856201556,98.53693387591333,107.60969344464844
2011-10-31,100.42831944685938,105.63877133647708,99.96654856201556,93.61008718211767,102.22920877241602
2011-11-01,100.42831944685938,110.92070990330093,107.46403970416672,93.14765854911573,109.89639943034722
2011-11-02,100.42831944685938,111.31542281603144,107.46403970416672,92.22519772273381,110.28746731979332
2011-11-03,102.93902743303086,108.82508841347051,105.05986795201201,90.16194739441693,107.82013020612392
2011-11-04,102.93902743303086,108.82508841347051,102.46084295210562,87.93147480877299,105.15282042017523
2011-11-07,102.93902743303086,105.77535310535347,102.59473273460006,87.93147480877299,105.29022791994873
2011-11-08,102.93902743303086,106.91873213954725,102.69537182204948,87.93147480877299,106.42836299182363
2011-11-09,105.51250311885663,101.57279553256988,102.69537182204948,87.73127437985076,106.18604925869462
2011-11-10,105.51250311885663,96.49415575594139,98.94130987883429,87.73127437985076,100.87674679575989
2011-11-11,105.51250311885663,96.00014913914445,96.73791497669752,87.62969182729744,100.36030328674472
2011-11-14,105.51250311885663,96.00014913914445,96.73791497669752,87.62969182729744,100.36030328674472
2011-11-15,105.51250311885663,96.00014913914445,97.45760039018525,87.62969182729744,102.81995675596374
2011-11-16,105.51250311885663,95.30409116052468,97.45760039018525,87.62969182729744,102.07445113015898
2011-11-17,105.51250311885663,95.30409116052468,95.82813213480253,87.62969182729744,100.36779021160265
2011-11-18,105.51250311885663,90.53888660249845,95.82813213480253,87.62969182729744,95.34940070102252
2011-11-21,105.51250311885663,87.76287679405222,94.998688229526,87.62969182729744,92.42589587886133
2011-11-22,108.15031569682805,92.15102063375483,96.5271947930787,87.62969182729744,97.04719067280439
2011-11-23,108.15031569682805,87.83022732646835,95.23041284616066,87.62969182729744,92.49682488123538
2011-11-25,108.15031569682805,89.04288881804031,100.4521798405183,87.62969182729744,93.77391752963784
2011-11-28,110.85407358924874,89.04288881804031,100.11366372984376,87.3343865138231,93.45790664868687
2011-11-29,110.85407358924874,91.3385130028566,100.27544598350103,87.3343865138231,93.60893329376616
2011-11-30,105.31136990978631,91.3385130028566,100.27544598350103,87.3343865138231,91.01712771614176
2011-12-01,105.31136990978631,91.3385130028566,100.27544598350103,87.3343865138231,92.21385270531002
2011-12-02,105.31136990978631,95.10670458034862,100.27544598350103,87.3343865138231,96.01815662562205
2011-12-05,105.31136990978631,95.94775056113686,99.27269152366603,86.46104264868488,96.8672627435241
2011-12-06,105.31136990978631,95.94775056113686,99.92787004202737,85.59643222219803,97.5065659467307
2011-12-07,105.31136990978631,95.94775056113686,97.5526972317803,83.5619015313826,95.18894480500285
2011-12-08,105.31136990978631,95.94775056113686,99.4985761516806,85.22870672806896,91.975716903917
2011-12-09,107.94415415753096,100.7451380891937,99.4985761516806,85.22870672806896,94.27510982651494
2011-12-12,107.94415415753096,100.7451380891937,100.9671084102654,85.22870672806896,94.27510982651494
2011-12-13,107.94415415753096,100.7451380891937,106.79124297986345,85.22870672806896,99.71322660373498
2011-12-14,107.94415415753096,100.7451380891937,102.57618341982842,85.22870672806896,95.7775369598073
2011-12-15,106.95799609924586,100.7451380891937,100.46044443022551,85.22870672806896,94.90253089196807
2011-12-16,109.631946001727,100.7451380891937,107.1509652073249,80.9672713916655,90.15740434736966
2011-12-19,109.631946001727,100.7451380891937,108.40918688870975,80.9672713916655,91.21607890683585
2011-12-20,109.631946001727,100.7451380891937,109.57424163093577,80.9672713916655,95.77688285217764
2011-12-21,104.15034870164065,100.7451380891937,104.09552954938898,77.62790673826578,91.8267196354598
2011-12-22,104.15034870164065,100.7451380891937,108.41643648000539,77.62790673826578,91.8267196354598
2011-12-23,104.15034870164065,100.7451380891937,109.51908790200144,77.62790673826578,92.7606450278697
2011-12-27,104.15034870164065,100.7451380891937,110.98970460477132,77.62790673826578,94.00623021809479
2011-12-28,104.15034870164065,100.7451380891937,107.48624561048518,77.62790673826578,91.03886514626848
2011-12-29,104.15034870164065,95.70788118473402,102.11193332996092,77.62790673826578,86.48692188895505
2011-12-30,104.15034870164065,95.70788118473402,102.11193332996092,77.62790673826578,86.74887106791626
2012-01-03,104.15034870164065,95.70788118473402,98.08156652491054,77.62790673826578,83.32488565381246
2012-01-04,106.75410741918166,95.70788118473402,98.76241338782059,78.16677167129679,83.90329695993009
2012-01-05,106.75410741918166,95.70788118473402,101.45467811128196,78.16677167129679,86.19050196878602
2012-01-06,106.75410741918166,95.70788118473402,97.54979127055981,78.16677167129679,82.87311766282052
2012-01-09,106.75410741918166,97.96862799106559,97.54979127055981,81.06918653920759,84.83069037018545
2012-01-10,106.75410741918166,97.96862799106559,97.54979127055981,81.06918653920759,84.83069037018545
2012-01-11,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,84.70713801625583
2012-01-12,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,80.47178111544304
2012-01-13,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,80.39950295896341
2012-01-17,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,80.39950295896341
2012-01-18,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,80.39950295896341
2012-01-19,106.75410741918166,97.82594078026098,97.54979127055981,81.06918653920759,80.39950295896341
2012-01-20,106.75410741918166,92.93464374124792,97.54979127055981,82.25021127867888,76.37952781101524
2012-01-23,106.75410741918166,92.93464374124792,98.72488948522071,82.25021127867888,75.04735335103327
2012-01-24,106.75410741918166,92.93464374124792,98.72488948522071,82.25021127867888,75.04735335103327
2012-01-25,106.75410741918166,92.93464374124792,98.72488948522071,82.25021127867888,76.92353718480909
2012-01-26,106.75410741918166,92.93464374124792,100.09814020294591,82.25021127867888,77.99353385130132
2012-01-27,106.75410741918166,92.93464374124792,100.09814020294591,82.25021127867888,81.89321054386639
2012-01-30,106.75410741918166,92.93464374124792,105.87715282812783,82.25021127867888,86.62118947224769
2012-01-31,106.75410741918166,92.93464374124792,102.45271895455053,82.25021127867888,83.81956015492138
2012-02-01,106.75410741918166,92.93464374124792,102.45271895455053,82.25021127867888,79.62858214717531
2012-02-02,106.75410741918166,92.93464374124792,102.45271895455053,82.25021127867888,79.62858214717531
2012-02-03,106.75410741918166,92.93464374124792,102.45271895455053,82.25021127867888,79.62858214717531
2012-02-06,109.4229601046612,95.13589690896177,102.45271895455053,83.67835183888039,81.01120240003291
2012-02-07,109.4229601046612,95.13589690896177,100.54049791572903,79.61743812461948,77.07972555320761
2012-02-08,110.01046582114539,95.64669357561569,100.54049791572903,79.77494834422829,77.49357635146994
2012-02-09,104.50994253008813,95.64669357561569,100.54049791572903,79.77494834422829,73.61889753389644
2012-02-10,104.50994253008813,95.64669357561569,108.08103525940871,75.78620092701688,69.93795265720162
2012-02-13,99.28444540358372,93.63929147274288,108.08103525940871,71.99689088066603,66.44105502434154
2012-02-14,99.28444540358372,93.07226930452201,108.08103525940871,74.37361456700961,68.63437236472151
2012-02-15,101.76655653867331,88.41865583929591,108.08103525940871,74.37361456700961,65.20265374648544
2012-02-16,101.76655653867331,88.41865583929591,108.08103525940871,74.73069513711442,65.23526217079666
2012-02-17,101.76655653867331,88.41865583929591,108.08103525940871,74.73069513711442,65.23526217079666
2012-02-21,101.76655653867331,88.41865583929591,108.08103525940871,71.14036262118677,65.23526217079666
2012-02-22,101.76655653867331,88.41865583929591,108.08103525940871,69.38594720175605,63.62647433747508
2012-02-23,101.76655653867331,88.41865583929591,108.08103525940871,69.69538743795918,60.659566494523084
2012-02-24,104.31072045214015,88.41865583929591,108.08103525940871,69.69538743795918,58.330789454719906
2012-02-27,99.09518442953313,88.41865583929591,108.08103525940871,69.69538743795918,55.41424998198391
2012-02-28,99.09518442953313,88.41865583929591,108.08103525940871,71.5261607013401,56.869883288673414
2012-02-29,101.57256404027146,90.62324004358055,105.4830362341436,76.77244192197911,58.28784701146053
2012-03-01,101.57256404027146,90.05645001896079,105.4830362341436,76.77244192197911,57.92329405322629
2012-03-02,101.57256404027146,90.25390462080628,112.1671693258905,84.14469477953922,58.05029462855933
2012-03-05,101.57256404027146,85.74120938976597,112.1671693258905,84.14469477953922,55.147779897131365
2012-03-06,101.57256404027146,85.74120938976597,112.1671693258905,84.14469477953922,55.147779897131365
2012-03-07,101.57256404027146,85.74120938976597,113.62960541150362,83.87656333223026,55.25547266142716
2012-03-08,101.57256404027146,90.02826985925427,114.37799519349176,83.9900339201966,55.61939745892145
