date,m1.5
2011-10-06,1988.4307733788703
2011-10-07,1988.4307733788703
2011-10-10,2001.5980764882177
2011-10-11,1919.9805130788866
2011-10-12,1924.7786364006251
2011-10-13,1936.106177277509
2011-10-14,1935.0201897543361
2011-10-17,1947.9594631105817
2011-10-18,1914.997508460508
2011-10-19,1872.065874069975
2011-10-20,1872.065874069975
2011-10-21,1880.1257531965841
2011-10-24,1880.3696852751311
2011-10-25,1858.8812121073715
2011-10-26,1848.891809254441
2011-10-27,1837.6769546501118
2011-10-28,1825.1724669707448
2011-10-31,1835.2090971301109
2011-11-01,1849.7565385072655
2011-11-02,1850.5320381795636
2011-11-03,1845.6944370724373
2011-11-04,1833.4884814971458
2011-11-07,1818.6153064337675
2011-11-08,1818.6153064337675
2011-11-09,1800.9838002781707
2011-11-10,1786.2574532354151
2011-11-11,1791.4991557274298
2011-11-14,1779.2046444150465
2011-11-15,1791.1758217358185
2011-11-16,1789.764712331083
2011-11-17,1785.2930161552206
2011-11-18,1785.2930161552206
2011-11-21,1764.6956656435555
2011-11-22,1773.6800386548607
2011-11-23,1784.525834325203
2011-11-25,1810.7150682852557
2011-11-28,1799.4663379511994
2011-11-29,1799.4663379511994
2011-11-30,1819.2046775366732
2011-12-01,1842.135956107809
2011-12-02,1826.4779703386139
2011-12-05,1811.3439376680371
2011-12-06,1800.9358595383192
2011-12-07,1789.7757745036442
2011-12-08,1782.4825304667545
2011-12-09,1805.0324145376592
2011-12-12,1805.0324145376592
2011-12-13,1821.390383769759
2011-12-14,1824.3391205247274
2011-12-15,1789.5198550067557
2011-12-16,1810.9196661823748
2011-12-19,1803.647417172291
2011-12-20,1808.1005801469962
2011-12-21,1783.4204371949115
2011-12-22,1754.4865813694003
2011-12-23,1764.267456517994
2011-12-27,1776.752030698196
2011-12-28,1770.6682593151443
2011-12-29,1753.844976974695
2011-12-30,1754.650140986354
2012-01-03,1756.9733451403233
2012-01-04,1759.8836642045885
2012-01-05,1761.63790833574
2012-01-06,1768.92839807022
2012-01-09,1791.3265593321191
2012-01-10,1775.023307768273
2012-01-11,1799.9391015682024
2012-01-12,1801.780334336715
2012-01-13,1801.4556521575696
2012-01-17,1804.4114084089506
2012-01-18,1790.030122278125
2012-01-19,1795.255013634627
2012-01-20,1809.0832621150269
2012-01-23,1823.7449610193119
2012-01-24,1810.833999409271
2012-01-25,1811.2931960159772
2012-01-26,1816.2788766135084
2012-01-27,1829.7051987901766
2012-01-30,1831.6085519850433
2012-01-31,1826.4914218242834
2012-02-01,1814.410192995416
2012-02-02,1821.9365421007567
2012-02-03,1825.785262621157
2012-02-06,1831.0156831443064
2012-02-07,1823.7821996883554
2012-02-08,1835.0842398029495
2012-02-09,1826.5129709272676
2012-02-10,1816.5197460271097
2012-02-13,1806.3775069689275
2012-02-14,1790.6488026599336
2012-02-15,1797.1767390022521
2012-02-16,1793.5099800654104
2012-02-17,1830.4617339351942
2012-02-21,1820.6114378287596
2012-02-22,1812.478377197756
2012-02-23,1814.9935020273467
2012-02-24,1812.4411292516522
2012-02-27,1823.8614805044544
2012-02-28,1843.1292099010523
2012-02-29,1858.1397362985715
2012-03-01,1848.7388898548622
2012-03-02,1855.2772418851334
2012-03-05,1854.2925500677052
2012-03-06,1844.3952500285236
2012-03-07,1845.3970656303113
2012-03-08,1831.538482794507
2012-03-09,1822.0120063190384
2012-03-12,1827.6037905968751
2012-03-13,1826.4573154342277
2012-03-14,1812.4286173167582
2012-03-15,1802.7558883809324
2012-03-16,1806.1447313422714
2012-03-19,1808.1295537706355
2012-03-20,1795.1634478827652
2012-03-21,1806.7576741067298
2012-03-22,1807.7969836982538
2012-03-23,1796.5275817393037
2012-03-26,1793.9848207103223
2012-03-27,1823.6944131368614
2012-03-28,1828.2714891253756
2012-03-29,1817.189677041846
2012-03-30,1810.4015137222161
2012-04-02,1808.061961324951
2012-04-03,1839.4422245789008
2012-04-04,1841.3269928086818
2012-04-05,1834.0861819025836
2012-04-09,1826.5975134061375
2012-04-10,1825.033269742313
2012-04-11,1816.434408303853
2012-04-12,1818.3900155274844
2012-04-13,1839.5540541292603
2012-04-16,1817.5159466537127
2012-04-17,1820.2951852949059
2012-04-18,1810.8141099221148
2012-04-19,1833.764703085192
2012-04-20,1825.4294089802593
2012-04-23,1804.3019079925507
2012-04-24,1842.071843490093
2012-04-25,1867.7080173478892
2012-04-26,1863.5816856816555
2012-04-27,1855.833606623147
2012-04-30,1821.8362140665847
2012-05-01,1813.6038461171624
2012-05-02,1861.3638238096344
2012-05-03,1851.0972893741507
2012-05-04,1849.0238712813377
2012-05-07,1850.8716574011512
2012-05-08,1849.6583653343093
2012-05-09,1869.6592922052996
2012-05-10,1838.8764564926616
2012-05-11,1847.1261977208392
2012-05-14,1860.8271037519817
2012-05-15,1859.106033796759
2012-05-16,1872.7373985076515
2012-05-17,1851.3066476532665
2012-05-18,1841.3608909222357
2012-05-21,1864.4158213522342
2012-05-22,1884.2021140926654
2012-05-23,1885.438271673973
2012-05-24,1885.438271673973
2012-05-25,1907.708546108488
2012-05-29,1894.688541300699
2012-05-30,1894.688541300699
2012-05-31,1863.807196601602
2012-06-01,1868.4911891886109
2012-06-04,1857.5201088253032
2012-06-05,1859.142286135175
2012-06-06,1888.6490239378686
2012-06-07,1865.0529394634423
2012-06-08,1855.2102060241652
2012-06-11,1844.6196894824343
2012-06-12,1844.6196894824343
2012-06-13,1837.1051581573556
2012-06-14,1846.3692915577988
2012-06-15,1846.3692915577988
2012-06-18,1844.0170820033686
2012-06-19,1844.0170820033686
2012-06-20,1831.7108611848776
2012-06-21,1822.0414675289683
2012-06-22,1801.1090614859518
2012-06-25,1801.1090614859518
2012-06-26,1801.1090614859518
2012-06-27,1790.1905565424029
2012-06-28,1775.9840734772367
2012-06-29,1786.4618105264908
2012-07-02,1798.4248804669855
2012-07-03,1824.774486499289
2012-07-05,1806.2620352216888
2012-07-06,1793.865308771577
2012-07-09,1773.9243739197323
2012-07-10,1798.8329467260678
2012-07-11,1808.2114704050373
2012-07-12,1797.427706238713
2012-07-13,1778.8471577860303
2012-07-16,1766.5694363018677
2012-07-17,1770.1269921075336
2012-07-18,1788.341055629864
2012-07-19,1804.3792079865125
2012-07-20,1778.639733067007
2012-07-23,1769.196832164847
2012-07-24,1757.1457454563613
2012-07-25,1771.0896654117298
2012-07-26,1788.3374191207656
2012-07-27,1788.3374191207656
2012-07-30,1805.3378144043127
2012-07-31,1789.344006618401
2012-08-01,1765.6568541817494
2012-08-02,1792.0087065916648
2012-08-03,1780.4164269507949
2012-08-06,1779.2937272204633
2012-08-07,1781.0272717632845
2012-08-08,1781.05229988198
2012-08-09,1812.119919232737
2012-08-10,1848.9966733919491
2012-08-13,1861.366721559008
2012-08-14,1861.5664487416127
2012-08-15,1893.8330414278762
2012-08-16,1903.6674006773194
2012-08-17,1911.0773799436759
2012-08-20,1895.010890312225
2012-08-21,1909.8577319333865
2012-08-22,1928.7705816926898
2012-08-23,1921.617333439265
2012-08-24,1936.1390767096743
2012-08-27,1932.3548545905062
2012-08-28,1962.4025984227278
2012-08-29,1969.223144039197
2012-08-30,1971.4989836665425
2012-08-31,1969.6660317876772
2012-09-04,1974.7369876960738
2012-09-05,1965.4353332120374
2012-09-06,1974.3087894231667
2012-09-07,1955.556006332386
2012-09-10,1961.9398713587684
2012-09-11,1973.2568225769733
2012-09-12,1970.956707262313
2012-09-13,2008.946335521671
2012-09-14,2013.3152681748934
2012-09-17,1934.2997819553177
2012-09-18,1911.948851678899
2012-09-19,1902.3308931378997
2012-09-20,1893.6643583171076
2012-09-21,1893.6643583171076
2012-09-24,1929.0786887692873
2012-09-25,1914.607908578875
2012-09-26,1906.233771874101
2012-09-27,1905.7491911862523
2012-09-28,1911.756031702599
2012-10-01,1907.7522928569458
2012-10-02,1907.7522928569458
2012-10-03,1908.7494020590023
2012-10-04,1908.7494020590023
2012-10-05,1883.4808352269417
2012-10-08,1860.4407630715448
2012-10-09,1831.98189234857
2012-10-10,1828.9647812943629
2012-10-11,1818.944985015481
2012-10-12,1824.588332214668
2012-10-15,1833.5998414859373
2012-10-16,1833.5998414859373
2012-10-17,1831.8090015638013
2012-10-18,1826.9701360890897
2012-10-19,1825.1508165736107
2012-10-22,1814.931937309285
2012-10-23,1823.6636602993904
2012-10-24,1812.7474093166816
